cellnumber,    x-coordinate,    y-coordinate,    z-coordinate,      solids-vof,solids-x-velocity,solids-y-velocity,  air-x-velocity,  air-y-velocity,           dp-dx,           dp-dy,          udm-x,           udm-y
3953,0.075,0.645,0.005,0.0029103066,0.0090760956,2.802953288,2.054805911,7.895032411,-266.3866811,1860.330005,103.7393389,258.220278
3954,0.065,0.645,0.005,0.008585501,-0.0418884759,2.791633287,2.083063373,7.228675176,-417.7312311,1754.034126,303.2666114,633.2410117
3955,0.055,0.645,0.005,0.0092777089,-0.1029582195,2.932308282,2.089504437,7.989940534,-427.0378287,1678.976893,360.1229983,830.7414884
3956,0.045,0.645,0.005,0.0081184578,-0.1556686693,3.181683975,2.165752041,8.935965481,-360.9456625,1615.561897,355.2241626,880.5210621
3957,0.035,0.645,0.005,0.0064397757,-0.1969996618,3.433916953,2.393778798,9.456435969,-266.9014422,1485.639826,323.1065772,751.0929766
3958,0.025,0.645,0.005,0.0065292001,-0.2371122815,3.680865845,2.822216,9.293605768,-246.5322449,1413.396268,381.4930205,699.8990985
3959,0.015,0.645,0.005,0.0125400697,-0.0515400549,4.342349484,3.475995453,8.784761032,-402.2796538,1252.55881,801.0523381,1008.807466
3960,0.005,0.645,0.005,0.0703208915,0.4992050851,5.64638073,4.249077918,8.666026184,-5086.843871,-1527.387971,4965.067096,3998.200195
3961,0.795,0.655,0.005,0.0759525506,0.8874892947,6.366800132,3.940461789,9.958923089,-4528.146611,-2303.971133,4373.787399,5146.191834
3962,0.075,0.655,0.005,0.0024404295,0.0088431909,2.911199404,2.020553932,7.86930978,-215.9615751,1946.244798,84.29069152,207.744853
3963,0.065,0.655,0.005,0.0079005575,-0.044317529,2.898950853,1.961853524,7.158140756,-374.1045743,1928.204875,256.9750904,545.5694861
3964,0.055,0.655,0.005,0.0084435339,-0.1007306924,3.047777894,1.903466829,8.002391761,-347.7347078,1789.119489,294.0813382,727.003931
3965,0.045,0.655,0.005,0.0071729944,-0.1480677076,3.311879559,1.932310665,9.073339963,-280.6231505,1722.836617,278.7111528,771.8707767
3966,0.035,0.655,0.005,0.0055515105,-0.1884998961,3.58842363,2.096696237,9.724373823,-179.5994658,1617.249711,245.0498907,657.9802505
3967,0.025,0.655,0.005,0.0056169744,-0.235643687,3.867392153,2.426328674,9.760780731,-149.2604432,1577.18405,286.8597421,635.083952
3968,0.015,0.655,0.005,0.0062432758,-0.2345957615,4.22535291,2.931717288,9.386136098,-137.906809,1521.568795,366.1256484,596.7492985
3969,0.005,0.655,0.005,0.0317412121,0.0550052544,5.400048613,3.592604582,9.002408608,-1756.358584,491.607238,1989.660334,2026.083828
3970,0.795,0.665,0.005,0.0489105691,0.2676822699,6.312179244,3.226067105,9.830048067,-2475.076772,-170.3386983,2533.172828,3012.241547
3971,0.065,0.665,0.005,0.0076671524,-0.0401261032,3.010393625,1.789906162,7.006016418,-324.523784,2004.150789,219.225238,478.6480403
3972,0.055,0.665,0.005,0.0075935301,-0.0858324004,3.172025763,1.682929581,7.995907244,-260.7223693,1885.968044,228.0631342,621.9884535
3973,0.045,0.665,0.005,0.0060661768,-0.1288128705,3.45235954,1.678675877,9.156070139,-195.9926278,1820.350261,201.6719227,636.3958197
3974,0.035,0.665,0.005,0.0047220515,-0.1750920715,3.750863151,1.776524106,9.895249198,-112.5477257,1796.708062,176.1685255,554.6415542
3975,0.025,0.665,0.005,0.0048395358,-0.2287123013,4.048905798,1.98930255,10.0830428,-75.99991196,1722.249198,204.9281,557.5094464
3976,0.015,0.665,0.005,0.0050463296,-0.268075842,4.348688998,2.343091707,9.888072192,-38.188875,1635.92454,244.9691816,519.6825336
3977,0.005,0.665,0.005,0.0117687056,-0.2958134796,5.077043721,2.826373203,9.477717221,-315.1824274,1452.326806,646.4120142,911.1076661
3978,0.795,0.675,0.005,0.0263568478,-0.2056666156,6.180214499,2.398429608,9.865178069,-920.9491212,1076.178148,1132.186015,1602.115998
3979,0.065,0.675,0.005,0.0074861662,-0.0150998606,3.123512566,1.56861636,6.824005033,-266.6930795,2077.068459,176.8446077,413.2130051
3980,0.055,0.675,0.005,0.0064142796,-0.0537912197,3.306317763,1.446584223,7.978535152,-187.8622736,1989.664366,159.0233474,495.2038187
3981,0.045,0.675,0.005,0.0048743129,-0.1039914843,3.606614277,1.426586354,9.190599097,-122.397793,1948.083456,134.424021,490.4171967
3982,0.035,0.675,0.005,0.0039818015,-0.1571840118,3.922243144,1.46426373,9.991011976,-58.85271809,1940.74947,121.4602324,454.6024232
3983,0.025,0.675,0.005,0.0041595288,-0.2165637808,4.232666596,1.563478994,10.25343894,-17.17164239,1853.128369,139.304017,471.1784371
3984,0.015,0.675,0.005,0.0044784332,-0.2694939479,4.556102733,1.768860459,10.21584305,20.39579042,1811.221211,167.8415475,466.0325849
3985,0.005,0.675,0.005,0.0060507935,-0.4467220056,4.99542537,2.085140574,9.895507744,-14.7672841,1822.566152,269.4592888,521.5025183
3986,0.795,0.685,0.005,0.0141099521,-0.4626161655,6.067462654,1.60566324,9.972646099,-214.2523213,1728.102561,463.6607762,875.4525051
3987,0.065,0.685,0.005,0.0069381029,0.0410770949,3.241026765,1.320012071,6.694165744,-200.5739146,2123.011717,126.2677966,340.9244866
3988,0.055,0.685,0.005,0.0049379713,-0.0165048938,3.458512447,1.214921019,7.954814029,-122.9982616,2099.936449,97.45457837,355.835597
3989,0.045,0.685,0.005,0.003764694,-0.0745692875,3.77729468,1.185251095,9.183275206,-68.10334218,2054.583469,83.30914094,357.4855588
3990,0.035,0.685,0.005,0.0033465038,-0.1337593807,4.102236326,1.172330528,10.01096356,-15.2265801,2006.839884,80.43500383,363.8865091
3991,0.025,0.685,0.005,0.0035866397,-0.1993276239,4.422167658,1.177724463,10.309674,25.81068622,1979.996894,90.89534921,388.6177946
3992,0.015,0.685,0.005,0.0039500746,-0.2635725891,4.755456345,1.246933589,10.3702128,66.87451115,1956.818156,107.5460538,399.763277
3993,0.005,0.685,0.005,0.0049793759,-0.4655068264,5.119555443,1.408747704,10.17542131,53.97891486,1900.081934,161.7717867,436.3849423
3994,0.795,0.695,0.005,0.0091966571,-0.5392001341,6.071756644,0.9242770397,10.09265861,35.64758198,2000.133156,208.0342568,571.5738968
3995,0.045,0.695,0.005,0.0028456049,-0.0381894454,3.965293069,0.9550971537,9.139704475,-24.66721396,2170.007677,48.16545006,250.9123292
3996,0.035,0.695,0.005,0.0028078897,-0.1032527732,4.291283299,0.8949887738,9.95567749,25.94378843,2149.018196,50.10131379,284.2935075
3997,0.025,0.695,0.005,0.0031208104,-0.176511186,4.617125016,0.8272773264,10.29244406,67.06480094,2075.525364,56.09382314,317.1488204
3998,0.015,0.695,0.005,0.0034785249,-0.2486443447,4.95282437,0.7974091498,10.40763021,103.5310168,2053.535612,63.89762973,333.2039572
3999,0.005,0.695,0.005,0.0046019993,-0.4661510803,5.344578839,0.8374416574,10.30117856,103.2553318,2035.941163,101.0854058,384.3530884
4000,0.465,0.555,0.005,0.2224954286,0.2482522256,-0.7280243708,0.3460293105,0.2694476253,-392.8676226,-1514.835543,303.4200783,3095.337026
4001,0.465,0.545,0.005,0.1668963176,0.2329952058,-0.8074682985,0.3350434842,0.4510714434,-269.3158734,-787.3288452,220.5744163,2720.297422
4002,0.455,0.555,0.005,0.2389347235,0.1603134167,-0.7359526643,0.156097725,0.1533590251,14.86270475,-1461.794059,-14.17755384,2990.793722
4003,0.455,0.545,0.005,0.1766735589,0.1506483384,-0.814032713,0.1071216755,0.3331192915,114.6923089,-679.0435322,-98.72203168,2601.83458
4004,0.445,0.555,0.005,0.2649778344,0.0767176968,-0.7415463902,-0.0204281593,0.007834102,501.8664105,-1446.941377,-373.1896131,2878.774528
4005,0.445,0.545,0.005,0.1925708151,0.0697760723,-0.8179830419,-0.1215978506,0.1769411212,579.6598287,-563.5674382,-472.9816691,2458.960365
4006,0.435,0.555,0.005,0.2881441561,-0.0104827271,-0.7445122668,-0.1829621798,-0.1036372144,1045.701473,-1432.082055,-747.6302156,2777.939899
4007,0.435,0.545,0.005,0.2096166457,-0.0129574773,-0.8103414141,-0.3124690809,0.0436289351,1023.279284,-457.2115721,-814.2464944,2321.587394
4008,0.425,0.555,0.005,0.3161196805,-0.1238393754,-0.774537439,-0.3815208213,-0.230656979,1922.677505,-1572.253312,-1311.316548,2767.756308
4009,0.425,0.545,0.005,0.2242011643,-0.0988778644,-0.8123720563,-0.4598767277,-0.0908529735,1359.527248,-241.0102309,-1055.645385,2109.891103
4010,0.415,0.555,0.005,0.4831450065,-0.3475087456,-0.8470910136,-0.6567706108,-0.5293103224,8498.713953,-6243.307223,-4391.502855,4512.469754
4011,0.415,0.545,0.005,0.3001034655,-0.2821249485,-0.8549278384,-0.7474936135,-0.3877330006,3139.865328,-641.6744478,-2182.773093,2191.338605
4012,0.405,0.555,0.005,0.5246390527,-0.3877051921,-1.12164463,-0.8169720302,-0.795656154,17827.31003,-11064.6757,-8462.308445,6426.34088
4013,0.405,0.545,0.005,0.5041951415,-0.5610306387,-0.989393046,-1.140800323,-0.7563361359,20734.88819,-5839.612134,-10262.33666,4125.273424
4014,0.395,0.555,0.005,0.1613055586,-0.2410247739,-1.434875848,-0.3731478363,-0.7262785782,234.9551472,1001.99948,-223.6133732,1199.274547
4015,0.395,0.545,0.005,0.3542415605,-0.3947273407,-1.36005486,-0.9269887328,-0.7787993531,5801.960932,-3907.150107,-3752.555186,4097.974039
4016,0.485,0.565,0.005,0.3133734257,0.4562029797,-0.591230078,0.6794050937,0.3741303171,-1880.684899,-5710.032873,1295.41386,5602.730249
4017,0.485,0.555,0.005,0.2159085512,0.44012569,-0.6990516771,0.7422476464,0.4207422352,-1200.243731,-1980.014674,939.7414089,3483.085842
4018,0.475,0.555,0.005,0.2161774889,0.3424707634,-0.7169640736,0.543994413,0.3520300171,-785.6921328,-1689.675773,613.7882197,3255.875829
4019,0.475,0.565,0.005,0.3115900195,0.3647787099,-0.6195308787,0.5164248866,0.2632956281,-1221.186839,-4670.04697,841.9124003,4901.294576
4020,0.465,0.565,0.005,0.3182904539,0.2714590587,-0.640245114,0.3388393968,0.1608710493,-553.8344354,-4139.239444,378.0451947,4494.755067
4021,0.455,0.565,0.005,0.3388137912,0.1798068338,-0.6585647107,0.170523326,0.0525518827,86.87564236,-4200.631683,-57.4654328,4401.851491
4022,0.445,0.565,0.005,0.3747348284,0.0913936377,-0.6820618693,0.0300072589,-0.0743253265,734.4371268,-4826.421691,-460.2852658,4556.909554
4023,0.435,0.565,0.005,0.4086332873,-0.0058785429,-0.7182440605,-0.1137957982,-0.1826430934,1654.924771,-5757.328077,-980.3645053,4865.618344
